sentence,label
"', ""The AS Parties shall have the right, upon at least five (5) days written notice and no more than once each Contract Year of the Term to inspect MusclePharm's books and records and all other documents and material in the possession of or under the control of MusclePharm with respect to the Licensed Products at the place or places where such records are normally retained by MusclePharm""]",Obligation
"[""MusclePharm shall, throughout the Term of the Agreement and for a period of not less than four years thereafter, obtain and maintain at its own cost and expense from a qualified insurance company licensed to do business in California and New York, a commercial general liability insurance policy including coverage for contractual liability (applying to the terms and conditions of this agreement), product liability, personal injury liability, and advertiser's liability, in a form approved by the AS Parties, in the amount of at least Five Million Dollars (US$5,000,000) per occurrence naming the AS Parties (for the avoidance of doubt, specifically including each of Lender, Endorser, and Fitness) as additional named insureds"", 'Without limiting the generality of the foregoing, such policy shall provide protection against any and all claims, demands, and causes of action arising out of any defects or failure to perform, alleged or otherwise, of the Products and Licensed Products or any material used in connection therewith or any use thereof.",Obligation
"', 'MusclePharm shall be responsible to pay the deductible under any such insurance policies with respect to any claims made under such policies.",Obligation
"', 'MusclePharm agrees to furnish the AS Parties a certificate of insurance evidencing same within thirty (30) days after execution of this Agreement and, in no event, shall MusclePharm manufacture, distribute, advertise, or sell the Licensed Products prior to receipt by the AS Parties of such evidence of insurance.",Obligation
"', 'The policy shall provide for ten (10) days notice to the AS Parties from the insurer by Registered or Certified Mail, return receipt requested, in the event of any modification, cancellation, or termination thereof.",Obligation
"', 'MusclePharm shall be responsible to provide for any appearances pursuant to this Agreement by Endorser appropriate certificates of insurance with coverage limits of at least Five Million Dollars (US$5,000,000) per occurrence endorsed to name the AS Parties as additional named insureds with respect to claims arising out of appearances by Endorser.']",Obligation
"['This Agreement has been executed and delivered in Los Angeles County in the State of California, and its interpretation, validity and performance shall be construed and enforced in accordance with the laws of the State of California.']",Arbitration
"[""THE PARTIES ACKNOWLEDGE AND AGREE THAT NOTHING IN THIS SECTION 12.2 SHALL LIMIT A PARTY'S OBLIGATION TO PAY ANY AMOUNTS DUE AND OWING TO THE OTHER PARTY UNDER SECTION 5 ON OR BEFORE ANY DATE OF EXPIRATION OR TERMINATION HEREOF.",Liability
""", 'TO THE MAXIMUM EXTENT PERMISSIBLE UNDER APPLICABLE LAW, EXCEPT FOR THE WILFUL MISAPPROPRIATION OR INFRINGEMENT OF THE INTELLECTUAL PROPERTY OF A PARTY TO THIS AGREEMENT, OR THE OBLIGATIONS OF THE PARTIES TO THIS AGREEMENT PURSUANT TO SECTION 13, (A) THE LIABILITY OF ANY PARTY TO THIS AGREEMENT, IF ANY, FOR DAMAGES FOR ANY CLAIM OF ANY KIND WHATSOEVER AND REGARDLESS OF THE LEGAL THEORY, WITH REGARD TO THE RIGHTS GRANTED HEREUNDER OR THE SERVICES PERFORMED HEREUNDER, SHALL NOT INCLUDE COMPENSATION, REIMBURSEMENT OR DAMAGES ON ACCOUNT OF THE LOSS OF PRESENT OR PROSPECTIVE PROFITS, EXPENDITURES, DATA, OPPORTUNITY, ANTICIPATED SAVINGS, INVESTMENTS OR COMMITMENTS, WHETHER MADE IN ESTABLISHMENT, DEVELOPMENT OR MAINTENANCE OF REPUTATION OR GOODWILL OR FOR ANY OTHER REASON WHATSOEVER; AND (B) IN NO EVENT SHALL ANY PARTY TO THIS AGREEMENT BE LIABLE TO THE OTHER PARTIES TO THIS AGREEMENT FOR SPECIAL, INDIRECT, CONSEQUENTIAL, INCIDENTAL, PUNITIVE OR CONSEQUENTIAL DAMAGES.']",Liability
"['TO THE MAXIMUM EXTENT PERMISSIBLE UNDER APPLICABLE LAW, EXCEPT FOR THE WILFUL MISAPPROPRIATION OR INFRINGEMENT OF THE INTELLECTUAL PROPERTY OF A PARTY TO THIS AGREEMENT, OR THE OBLIGATIONS OF THE PARTIES TO THIS AGREEMENT PURSUANT TO SECTION 13, (A) THE LIABILITY OF ANY PARTY TO THIS AGREEMENT, IF ANY, FOR DAMAGES FOR ANY CLAIM OF ANY KIND WHATSOEVER AND REGARDLESS OF THE LEGAL THEORY, WITH REGARD TO THE RIGHTS GRANTED HEREUNDER OR THE SERVICES PERFORMED HEREUNDER, SHALL NOT INCLUDE COMPENSATION, REIMBURSEMENT OR DAMAGES ON ACCOUNT OF THE LOSS OF PRESENT OR PROSPECTIVE PROFITS, EXPENDITURES, DATA, OPPORTUNITY, ANTICIPATED SAVINGS, INVESTMENTS OR COMMITMENTS, WHETHER MADE IN ESTABLISHMENT, DEVELOPMENT OR MAINTENANCE OF REPUTATION OR GOODWILL OR FOR ANY OTHER REASON WHATSOEVER; AND (B) IN NO EVENT SHALL ANY PARTY TO THIS AGREEMENT BE LIABLE TO THE OTHER PARTIES TO THIS AGREEMENT FOR SPECIAL, INDIRECT, CONSEQUENTIAL, INCIDENTAL, PUNITIVE OR CONSEQUENTIAL DAMAGES.",Liability
"', 'THE FOREGOING PROVISIONS OF THIS SECTION 13.5 STATE THE ENTIRE LIABILITY AND THE EXCLUSIVE REMEDY OF THE PARTIES TO THIS AGREEMENT WITH RESPECT TO INFRINGEMENT OR ALLEGED INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.']",Liability
"['The Parties (including Online BVI on behalf of the Online Group) agree to maintain records (i) of all information reasonably necessary to verify all calculations to be made under Section 8.3.2, and (ii) supporting, verifying and necessary to demonstrate the calculation and collection of fees and/or revenue, as well as any deductions thereto, and payments made hereunder, including, without limitation, budgets, purchase orders, expense records, invoices, correspondence, banking and financial and other records pertaining to the determination of Gross Revenue, Direct Expenses and Adjusted Net Revenue, during the term of this Agreement and for a period of two (2) years following the expiration or termination hereof.",Termination
"', 'Each Party shall (i) immediately stop displaying, featuring, linking or in any other manner using the Company-Skype Branded Application (provided in the case of Skype, other than the Skype Software in the Company-Skype Branded Application), Company-Skype Toolbar, Company-Skype Branded Web Site, Company-Skype Branded Content, any co-branded materials or any other Intellectual Property of the other Parties (including, without limitation, Intellectual Property deemed to be owned by the other Parties under Section 4.2.3.2); (ii) return such materials directly to the other Parties, or delete and overwrite any electronically stored copies of such materials within thirty (30) days from the date of termination of this Agreement; (iii) within such thirty (30) day period, deliver to the other Parties a certificate duly executed by its authorised officer certifying its compliance with the foregoing, and (iv) provide the other Parties with such information and access to data and databases as may be necessary to permit such other Parties to fulfil any contractual obligations by them to users of the Company-Skype Branded Application undertaken by such other Parties prior to the time of termination.",Termination
"', 'The Parties agree that notwithstanding any termination or expiration of this Agreement, the rights and licenses granted to any Company- Skype Branded Customers prior to termination or expiration of this Agreement pursuant to any EULA shall continue during the 24 months after such termination or expiration for the sole purpose of permitting such users to continue to access and utilize the Company-Skype Branded Application and the Company-Skype Toolbar, and so long as any Gross Revenue is received with respect to the Company-Skype Branded Application and/or the Company-Skype Toolbar, the provisions of Section 5 shall continue to be applicable after any termination or expiration.']",Termination
"[""During such audits, the auditing Party shall have the right to take extracts and/or make copies of the audited Party's records as it deems necessary"", ""Not more than once per calendar quarter, each Party or its independent auditor (who shall be a certified public accountant) shall have the right, on not less than fifteen (15) calendar days prior notice and not during the first twenty (20) days after the close of any fiscal quarter of the other Parties, or within sixty (60) day of the close of such Parties' respective fiscal years, to audit the books of account and records of any and all such Parties.",Obligation
"Such audit shall be conducted at the premises where the audited Party maintains consolidated books of account; provided however, that the auditing Party may conduct all or any part of such audit at any of the audited Party's premises where any relevant books of account and/or records are located"", 'The exercise by any Party in whole or in part, at any time of the right to inspect and/or audit records and accounts or of any other right herein granted, or the acceptance by such Party of any statement or statements or the receipt and/or deposit by such Party, of any payment tendered by or on behalf of an audited Party shall be without prejudice to any rights or remedies of the accepting Party and such acceptance, receipt and/or deposit shall not preclude or prevent such accepting Party from thereafter disputing the accuracy of any such statement or payment.",Obligation
"', ""Such audits shall be at the auditing Party's cost, except that, subject to Section 5.5, if an audit by an independent accounting firm establishes a deficiency of more than three percent (3%) between the amount shown to be due to the auditing Party and the amount actually paid for the period being audited, all actual and reasonable costs and expenses incurred by the auditing Party in connection with such audit shall be paid by the audited Party, along with the amount of any deficiency, within five (5) business days.",Obligation
""", 'Each Party shall cause any Subsidiary or other Affiliate (including, without limitation, a Subsidiary or other Affiliate of the Online Group or Skype Group, as applicable) to grant to the other Party the audit rights granted hereunder with respect to such other Party.']",Obligation
"['This Agreement will be governed by and construed in accordance with the laws of England and Wales, without regard to conflict of laws principles.']",Arbitration
"['EXCEPT FOR [**], IN NO EVENT WILL EITHER PARTY BE LIABLE TO THE OTHER PARTY FOR [**], EVEN IF SUCH PARTY WAS ADVISED OR AWARE OF THE POSSIBILITY OF SUCH DAMAGES.']",Liability
"[""Notwithstanding anything to the contrary, Stryker's sole remedy and Conformis' exclusive liability for breach of Section 3.2 with respect to a Product or a Stryker Product shall be as set forth in Section 10.1(i) of the Distribution Agreement.",Liability
""", ""Such termination, together with the provisions of Section 5.2 of the License Agreement, constitutes as Stryker's sole remedy and Conformis' exclusive liability in the event of any such rejection or failure by Conformis to deliver materially conforming Deliverables hereunder so long as such rejection or failure does not arise from Conformis' fraud, willful misconduct, gross negligence or bad faith.",Liability
""", ""CONFORMIS' LIABILITY ON A PER OCCURRENCE BASIS UNDER SECTION 7.3(A)(IV) SHALL NOT EXCEED THE GREATER OF (I) $[**] AND (II) THE AMOUNT OF INSURANCE COVERAGE ACTUALLY PAID TO CONFORMIS UNDER THEN-CURRENT INSURANCE POLICIES OF CONFORMIS IN RESPECT OF SUCH DAMAGES.",Liability
""", 'EXCEPT FOR [**], IN NO EVENT WILL EITHER PARTY BE LIABLE TO THE OTHER PARTY FOR [**], EVEN IF SUCH PARTY WAS ADVISED OR AWARE OF THE POSSIBILITY OF SUCH DAMAGES.']",Liability
['This Agreement shall be governed and construed in accordance with the laws of New York State (without regard to the conflict of laws provisions thereof).'],Arbitration
"['NOTWITHSTANDING ANYTHING TO THE CONTRARY HEREIN, NEITHER PARTY SHALL BE LIABLE FOR ANY INDIRECT, SPECIAL, INCIDENTAL, CONSEQUENTIAL OR EXEMPLARY DAMAGES, WHETHER FORESEEABLE OR NOT, THAT ARE IN ANY WAY RELATED TO THIS AGREEMENT.']",Liability
"[""ETON has the right to terminate this Agreement after approval of the Dossier or marketing application for the Product (or added new product), at its sole discretion, upon providing one hundred eighty (180) days' written notice to Aucta.""]",Termination
"['In addition, within twenty-five (25) months after the termination or expiration of the Term and on a Product-by-Product basis, ETON shall perform a final ""true-up"" reconciliation and shall provide Aucta with a written report of such outlining the deductions specified in the definition of Net Sales.",Termination
"', ""After termination is effective and Aucta assumes control of the Product, ETON will provide, to the extent practicable, transition services to Aucta to include assistance with Product distribution, processing of rebates, drug safety, etc.",Termination
"at Aucta's cost for such services, for a reasonable period of time as mutually determined by the Parties but not to exceed one hundred eighty (180) days following termination so that Aucta can get its own such services in place.",Termination
""", ""If this Agreement is terminated by Aucta under Section 11.2 or 11.3, then (a) ETON shall have the right to, and Aucta shall hereby grant ETON a license to, Market or otherwise dispose of any existing inventory of any Products then in ETON's possession subject to paying all Royalties and other amounts due hereunder for such sales, (b) Aucta may keep all the payments under Section 6 paid by ETON up to the point of termination and for ETON's disposal of remaining inventory and Aucta is free to commercialize or relicense the Product with no further obligations owed to ETON, (c) ETON shall refrain from holding itself out as Aucta's distributor, in particular, eliminate any reference to the Product and Aucta from its business, trade style and promotional material, and (d) ETON shall transfer all rights, licenses within thirty (30) days of termination.""]",Termination
"[""Each Party shall permit an independent certified public accounting firm selected by the auditing Party and reasonably acceptable to the non-auditing Party, that has agreed to be bound by a confidentiality agreement reasonably acceptable to the Parties, to have access, during normal business hours and upon reasonable prior notice (not more often than once in any calendar year), to those books and records maintained by the non-auditing Party necessary for the auditing Party to verify the accuracy of the non-auditing Party's calculations under this Section 6 and/or cost of Product(s) for any period ending not more than two (2) years prior to the date of such request, subject to any limitations in scope necessary to comply with Applicable Law, Third Party confidentiality restrictions, or maintain legal privilege, including but not limited to Third Party pricing information.""]",Obligation
['The Parties shall provide written proof of such insurance to each other upon request.,Obligation
"', 'At all times from the first commercial sale of any Product(s) or after the Effective Date through the date which is five (5) years after the final sale of such Product(s), the Parties will maintain general liability insurance in amounts that are reasonable and customary in the pharmaceutical industry, provided in no event shall the general liability insurance amounts be less than five million dollars ($5,000,000) per occurrence and ten million dollars ($10,000,000) in the aggregate limit of liability per year.']",Obligation
"['This Agreement shall be governed, interpreted and construed in accordance with the substantive laws of the Delaware, in the country of the United State of America, without regard to its conflict of laws principles.']",Arbitration
"[""Notwithstanding anything to the contrary in this Agreement, each Party will bear full responsibility, without limit, for the following:\n\n(i) Gross Negligence or Willful Misconduct attributable to its personnel, and, in no event, will a Party be required to release or indemnify the other Party for Gross Negligence or Willful Misconduct attributable to the other Party; and\n\n(ii) its legal obligations to third parties wherein nothing in this Agreement is intended to impair a party's contribution and indemnity rights under law with respect to third party claims.""]",Liability
"['In no event will either Party be liable to the other Party under this Agreement for any consequential, indirect, special, incidental, punitive or exemplary loss or damage, including, without limitation, business interruption, cost of capital, loss of anticipated revenues and profits, loss of goodwill or increased operating costs, whether arising from contract, warranty, tort, strict liability or otherwise regardless of whether the possibility of such losses or damages have been made known to the first Party, and each Party hereby expressly waives all such rights and remedies, except for breach of any confidentiality or restricted use provisions of this Agreement and except as provided in Paragraph 11.04 (Exceptions to Limitations of Liability).']",Liability
"['Accordingly, either Party may terminate this Agreement or all/part of a Project for any reason and at any time upon giving the other Party sixty (60) days prior written notice.']",Termination
"['Such books, records and accounts will be maintained for a period of at least three (3) years following the termination or expiration of this Agreement, provided there are no pending disputes between the Parties.']",Termination
"[""At the request of ExxonMobil, FCE will permit, at reasonable intervals and during regular business hours, during the Term of this Agreement and at least three (3) years thereafter, but no more than once per fiscal year, an independent certified public accounting firm of nationally recognized standing selected by ExxonMobil (and approved by FCE, which approval will not be unreasonably withheld) to inspect, during regular business hours, such books, records, and accounts and any part of the applicable operations and facilities of FCE relevant to this Agreement, and to have access to FCE's knowledgeable personnel, as may be necessary to determine the completeness and accuracy of any accounting and payments required to be made under this Agreement and compliance with other terms of this Agreement, subject to the following:\n\n(a) ExxonMobil and its employees or other representatives will have the right to reproduce for its internal records any of the documents kept by FCE in accordance with Paragraph 18.01 (Recordkeeping), such reproduced documents shall be subject to the confidentiality and use provisions contained in Article 4; and\n\n(b) all expenses of each such audit, including any pre-approved reasonable expenses incurred by FCE for such audit, will be for the account of ExxonMobil.",Obligation
""", 'FCE will cause any subcontractors to preserve documentation and allow ExxonMobil to audit such books, records, and accounts of subcontractors by way of auditing FCE.']",Obligation
['The validity and interpretation of this Agreement and the legal relations of the Parties to it will be governed by the laws of the State of New York without recourse to its conflicts of law rules.'],Arbitration
